ISO_Quality_Understanding,ISO_Quality,Data Quality Scope|ISO_Quality,Standalone Report Citation|ISO_Quality,Report|ISO_Quality,Completeness Report|ISO_Quality,Logical Consistency|ISO_Quality,Positional Accuracy Report|ISO_Quality,Thematic Accuracy Report|ISO_Quality,Temporal Quality Report|ISO_Quality,Usability Report|ISO_Quality,Confidence|ISO_Quality,Representativity|ISO_Quality,Homogeneity|ISO_Quality,Measure|ISO_Quality,Measure Identifier|ISO_Quality,Measure Name|ISO_Quality,Measure Description|ISO_Quality,Evalulation Method|ISO_Quality,Evalulation Method Type|ISO_Quality,Evaluation Method Description|ISO_Quality,Evaluation Procedure|ISO_Quality,Evaluation Reference|ISO_Quality,Measure Time|ISO_Quality,Result|ISO_Quality,Conformance Result|ISO_Quality,Quantitative Result|ISO_Quality,Descriptive Result|ISO_Quality,Coverage Result|ISO_Quality,,,,,,,,,,,,,,,,,,,,,,,
WSDL_Access,WSDL_Recommended,Types|WSDL_Recommended,Interface|WSDL_Recommended,Service Operation Name|WSDL_Recommended,Binding|WSDL_Recommended,Service Location|WSDL_Recommended,Service|WSDL_Recommended,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISO_Reference_Understanding,ISO_ExternalRefs,Parent Metadata Reference|ISO_ExternalRefs,Metadata Standard Citation|ISO_ExternalRefs,Metadata Profile Citation|ISO_ExternalRefs,Alternate Metadata Citation|ISO_ExternalRefs,Resource Citation|ISO_ExternalRefs,Additional Resource Documentation|ISO_ExternalRefs,Keyword Vocabulary Citation|ISO_ExternalRefs,Keyword Ontology Citation|ISO_ExternalRefs,Additional Usage Documentation|ISO_ExternalRefs,Identified Issues Citation|ISO_ExternalRefs,Related Resource Citation|ISO_ExternalRefs,Related Metadata Citation|ISO_ExternalRefs,Constraint Reference|ISO_ExternalRefs,Additional Lineage Documentation|ISO_ExternalRefs,Process Step Reference|ISO_ExternalRefs,Source Citation|ISO_ExternalRefs,Parameters Citation|ISO_ExternalRefs,Feature Catalogue Citation|ISO_ExternalRefs,Portrayal Catalogue Citation|ISO_ExternalRefs,Format Citation|ISO_ExternalRefs,Medium Reference|ISO_ExternalRefs,Application Schema Information|ISO_ExternalRefs,Service Operation Reference|ISO_ExternalRefs,Service Profile Reference|ISO_ExternalRefs,Service Standard Citation|ISO_ExternalRefs,Service Resource Reference|ISO_ExternalRefs,Evaluation Procedure|ISO_ExternalRefs,Evaluation Reference Document|ISO_ExternalRefs,Evaluation Specification|ISO_ExternalRefs,Standalone Report Citation|ISO_ExternalRefs,Measure Source Citation|ISO_ExternalRefs,Algorithm Citation|ISO_ExternalRefs,Processing Software Reference|ISO_ExternalRefs,Processing Citation|ISO_ExternalRefs,Instrument Citation|ISO_ExternalRefs,Operation Citation|ISO_ExternalRefs,Plan Citation|ISO_ExternalRefs,Platform Citation|ISO_ExternalRefs,Requirement Citation|ISO_ExternalRefs,,,,,,,,,,,
ISO_UserFeedback_Understanding,ISO_UserFeedback,Specific Usage|ISO_UserFeedback,Usage Time|ISO_UserFeedback,User Determined Limitations|ISO_UserFeedback,User Contact|ISO_UserFeedback,User Response|ISO_UserFeedback,Additional Usage Documentation|ISO_UserFeedback,Identified Issues Citation|ISO_UserFeedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACDD_Discovery,ACDD_highlyRecommended|ACDD_recommended|ACDD_suggested,Resource Title|ACDD_highlyRecommended,Abstract|ACDD_highlyRecommended,Keyword|ACDD_highlyRecommended,Resource Identifier|ACDD_recommended,Naming Authority|ACDD_recommended,Keyword Vocabulary|ACDD_recommended,Common Data Model Datatype|ACDD_recommended,Lineage Statement|ACDD_recommended,Supplemental Information|ACDD_recommended,Resource Creation/Revision Date|ACDD_recommended,Resource Contact|ACDD_recommended,Author / Originator World Wide Web Address|ACDD_recommended,Author / Originator Email Address|ACDD_recommended,Originating Organization|ACDD_recommended,Project Name|ACDD_recommended,Processing Level|ACDD_recommended,Acknowledgement|ACDD_recommended,Bounding Box|ACDD_recommended,Southernmost Latitude|ACDD_recommended,Northernmost Latitude|ACDD_recommended,Westernmost Longitude|ACDD_recommended,Easternmost Longitude|ACDD_recommended,Vertical Minimum|ACDD_recommended,Vertical Maximum|ACDD_recommended,Start Time|ACDD_recommended,End Time|ACDD_recommended,Temporal Extent|ACDD_recommended,Temporal Resolution|ACDD_recommended,Standard Name Vocabulary|ACDD_recommended,Resource Access Constraints|ACDD_recommended,Contributor Name|ACDD_suggested,Contributor Role|ACDD_suggested,Publisher|ACDD_suggested,Publisher URL|ACDD_suggested,Publisher E-Mail|ACDD_suggested,,,,,,,,,,,,,,,
UMM-Collection,UMM-Collection_Required|UMM-Collection_Recommended|UMM-Collection_Optional,Metadata Dates|UMM-Collection_Required,Resource Identifier|UMM-Collection_Required,Resource Version|UMM-Collection_Required,Resource Title|UMM-Collection_Required,Abstract|UMM-Collection_Required,Data Dates|UMM-Collection_Required,Responsibility|UMM-Collection_Required,Processing Level|UMM-Collection_Required,Keyword|UMM-Collection_Required,Related URL|UMM-Collection_Required,Spatial Extent|UMM-Collection_Required,Temporal Extent|UMM-Collection_Required,Platform Short Name|UMM-Collection_Required,Instrument Short Name|UMM-Collection_Required,Project Name|UMM-Collection_Required,Purpose|UMM-Collection_Recommended,Resource Language|UMM-Collection_Recommended,Resource Contact|UMM-Collection_Recommended,Responsibility|UMM-Collection_Recommended,Collection Data Type|UMM-Collection_Recommended,Resource Citation|UMM-Collection_Recommended,Resource Status|UMM-Collection_Recommended,Quality Statement|UMM-Collection_Recommended,Resource Use Constraints|UMM-Collection_Recommended,Resource Access Constraints|UMM-Collection_Recommended,Topic Category|UMM-Collection_Recommended,Media|UMM-Collection_Recommended,Resource Format|UMM-Collection_Recommended,Transfer Size|UMM-Collection_Recommended,Resource Cost or Fees|UMM-Collection_Recommended,Temporal Keyword|UMM-Collection_Recommended,Spatial Representation|UMM-Collection_Recommended,Place Keyword|UMM-Collection_Recommended,Metadata Association|UMM-Collection_Optional,Publication Information|UMM-Collection_Optional,Ancillary Keyword|UMM-Collection_Optional,Additional Attributes|UMM-Collection_Optional,Paleo Temporal Coverage|UMM-Collection_Optional,TwoDCoordinateSystem|UMM-Collection_Optional,Sensor Short Name|UMM-Collection_Optional,,,,,,,,,,
UMM-Common,UMM-Common_Required|UMM-Common_Optional,Metadata Dates|UMM-Common_Required,Resource Title|UMM-Common_Required,Abstract|UMM-Common_Required,Responsibility|UMM-Common_Required,Party|UMM-Common_Required,Processing Level|UMM-Common_Required,Keyword|UMM-Common_Required,Spatial Extent|UMM-Common_Required,Temporal Extent|UMM-Common_Required,Related URL|UMM-Common_Required,Platform Short Name|UMM-Common_Required,Instrument Short Name|UMM-Common_Required,Project Name|UMM-Common_Required,Metadata Language|UMM-Common_Optional,Resource Language|UMM-Common_Optional,Data Dates|UMM-Common_Optional,Purpose|UMM-Common_Optional,Resource Citation|UMM-Common_Optional,Quality Statement|UMM-Common_Optional,Resource Use Constraints|UMM-Common_Optional,Resource Access Constraints|UMM-Common_Optional,Metadata Association|UMM-Common_Optional,Publication Information|UMM-Common_Optional,Topic Category|UMM-Common_Optional,Ancillary Keyword|UMM-Common_Optional,Additional Attributes|UMM-Common_Optional,Media|UMM-Common_Optional,Resource Format|UMM-Common_Optional,Transfer Size|UMM-Common_Optional,Resource Cost or Fees|UMM-Common_Optional,TwoDCoordinateSystem|UMM-Common_Optional,Sensor Short Name|UMM-Common_Optional,,,,,,,,,,,,,,,,,,
UMM-Granule,UMM-Granule_Required|UMM-Granule_Recommended|UMM-Granule_Optional,Data Dates|UMM-Granule_Required,Resource Identifier|UMM-Granule_Required,Parent Identifier|UMM-Granule_Required,Metadata Language|UMM-Granule_Recommended,Resource Access Constraints|UMM-Granule_Recommended,Additional Attributes - Content Information|UMM-Granule_Recommended,Additional Attributes - Descriptive Keywords|UMM-Granule_Recommended,Additional Attributes - Geographic Identifier|UMM-Granule_Recommended,Additional Attributes - Platform|UMM-Granule_Recommended,Additional Attributes - Instrument|UMM-Granule_Recommended,Additional Attributes - Quality Information|UMM-Granule_Recommended,Additional Attributes - Platform Orbit Information|UMM-Granule_Recommended,Browse URL|UMM-Granule_Recommended,Browse Format|UMM-Granule_Recommended,Browse Description|UMM-Granule_Recommended,Browse File Size|UMM-Granule_Recommended,Project Name|UMM-Granule_Recommended,Cloud Cover|UMM-Granule_Recommended,Distribution Format|UMM-Granule_Recommended,DayNightFlag|UMM-Granule_Recommended,Transfer Size|UMM-Granule_Recommended,Input Granule|UMM-Granule_Recommended,Instrument Short Name|UMM-Granule_Recommended,Instrument Characteristics Name|UMM-Granule_Recommended,Instrument Characteristics Value|UMM-Granule_Recommended,Instrument Operation Modes|UMM-Granule_Recommended,Local Version Identifier|UMM-Granule_Recommended,Related URL|UMM-Granule_Recommended,Platform Short Name|UMM-Granule_Recommended,Platform Orbit Information|UMM-Granule_Recommended,Spatial Extent|UMM-Granule_Recommended,Temporal Extent|UMM-Granule_Recommended,Producer Identifier|UMM-Granule_Optional,Reprocessing Plan Note|UMM-Granule_Optional,Place Keyword|UMM-Granule_Optional,TwoDCoordinateSystem|UMM-Granule_Optional,Quality Statement|UMM-Granule_Optional,Process Step Description|UMM-Granule_Optional,Process Step Time|UMM-Granule_Optional,PGE Name|UMM-Granule_Optional,PGE Version|UMM-Granule_Optional,Platform Characteristics Name|UMM-Granule_Optional,Platform Characteristics Value|UMM-Granule_Optional,Number of Sensors|UMM-Granule_Optional,Sensor Short Name|UMM-Granule_Optional,Sensor Characteristics Name|UMM-Granule_Optional,Sensor Characteristics Value|UMM-Granule_Optional,Project UUID|UMM-Granule_Optional,Project Start Date|UMM-Granule_Optional,Project End Date|UMM-Granule_Optional
DataCite_Discovery,DataCite3.1Mandatory|DataCite3.1Recommended|DataCite3.1Optional,Resource Identifier|DataCite3.1Mandatory,Resource Identifier Type|DataCite3.1Mandatory,Author / Originator|DataCite3.1Mandatory,Author / Originator Identifier|DataCite3.1Mandatory,Author / Originator Identifier Type|DataCite3.1Mandatory,Resource Title|DataCite3.1Mandatory,Publisher|DataCite3.1Mandatory,Resource Creation/Revision Date|DataCite3.1Mandatory,Keyword|DataCite3.1Recommended,Keyword Vocabulary|DataCite3.1Recommended,Contributor Name|DataCite3.1Recommended,Contributor Role|DataCite3.1Recommended,Responsible Party Identifier Type|DataCite3.1Recommended,Responsible Party Identifier|DataCite3.1Recommended,Resource Creation/Revision Date|DataCite3.1Recommended,Resource Type|DataCite3.1Recommended,Related Resource Identifier|DataCite3.1Recommended,Abstract|DataCite3.1Recommended,Spatial Extent|DataCite3.1Recommended,Resource Language|DataCite3.1Optional,Resource Identifier|DataCite3.1Optional,Transfer Size|DataCite3.1Optional,Resource Format|DataCite3.1Optional,Resource Version|DataCite3.1Optional,Rights|DataCite3.1Optional,,,,,,,,,,,,,,,,,,,,,,,,,
LTER_Completeness,LTER_Identification|LTER_Discovery|LTER_Evaluation|LTER_Access|LTER_Integration,Resource Identifier|LTER_Identification,Resource Title|LTER_Identification,Author / Originator|LTER_Identification,Metadata Contact|LTER_Identification,Contributor Name|LTER_Identification,Publisher|LTER_Identification,Publication Date|LTER_Identification,Resource Contact|LTER_Identification,Abstract|LTER_Identification,Keyword|LTER_Identification,Resource Distribution|LTER_Identification,Spatial Extent|LTER_Discovery,Taxonomic Extent|LTER_Discovery,Temporal Extent|LTER_Discovery,Maintenance|LTER_Discovery,Resource Use Constraints|LTER_Evaluation,Process Step|LTER_Evaluation,Project Description|LTER_Evaluation,Entity Type Definition|LTER_Evaluation,Attribute Definition|LTER_Evaluation,Resource Access Constraints|LTER_Access,Resource Format|LTER_Access,Attribute List|LTER_Integration,Attribute Constraints|LTER_Integration,Resource Quality Description|LTER_Integration,,,,,,,,,,,,,,,,,,,,,,,,,
Dryad-Package,DMAP-DP_Required|DMAP-DP_Optional,Resource Type|DMAP-DP_Required,Metadata Access Constraints|DMAP-DP_Required,Author|DMAP-DP_Required,Resource Creation/Revision Date|DMAP-DP_Required,Publication Date|DMAP-DP_Required,Resource Title|DMAP-DP_Required,Resource Identifier|DMAP-DP_Required,Keyword|DMAP-DP_Required,Parent Identifier|DMAP-DP_Required,Related Resource Identifier|DMAP-DP_Required,Abstract|DMAP-DP_Optional,Taxonomic Extent|DMAP-DP_Optional,Spatial Extent|DMAP-DP_Optional,Temporal Extent|DMAP-DP_Optional,Related Resource Identifier|DMAP-DP_Optional,Resource on-line Link|DMAP-DP_Optional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryad-File,DMAP-DF_Required|DMAP-DF_Optional,Resource Type|DMAP-DF_Required,Metadata Access Constraints|DMAP-DF_Required,Author|DMAP-DF_Required,Resource Title|DMAP-DF_Required,Resource Identifier|DMAP-DF_Required,Rights|DMAP-DF_Required,Keyword|DMAP-DF_Required,Resource Creation/Revision Date|DMAP-DF_Required,Publication Date|DMAP-DF_Required,Resource Format|DMAP-DF_Required,Transfer Size|DMAP-DF_Required,Lineage Statement|DMAP-DF_Required,Parent Identifier|DMAP-DF_Required,Abstract|DMAP-DF_Optional,Taxonomic Extent|DMAP-DF_Optional,Spatial Extent|DMAP-DF_Optional,Temporal Extent|DMAP-DF_Optional,Embargo Date|DMAP-DF_Optional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
