Collection,FileName,Xpath,Values
ECL,100004.xml,/resource/descriptions/description/@descriptionType,Other
ECL,100004.xml,/resource/geoLocations/geoLocation/geoLocationBox,85.5945 85.1788 85.6263 85.5817
ECL,100004.xml,/resource/geoLocations/geoLocation/geoLocationPlace,Gakkel Ridge Arctic Ocean
ECL,100031.xml,/resource/@xsi:schemaLocation,http://datacite.org/schema/kernel-3 http://schema.datacite.org/meta/kernel-3/metadata.xsd
ECL,100031.xml,/resource/identifier,10.1594/IEDA/100031
ECL,100031.xml,/resource/identifier/@identifierType,DOI
ECL,100031.xml,/resource/creators/creator/creatorName,Von Damm, Karen L.
ECL,100031.xml,/resource/creators/creator/nameIdentifier,1794
ECL,100031.xml,/resource/creators/creator/nameIdentifier/@nameIdentifierScheme,GeoPass
ECL,100031.xml,/resource/creators/creator/creatorName,Prado, M. Florencia
ECL,100031.xml,/resource/creators/creator/creatorName,Bryce, Julia G.
ECL,100031.xml,/resource/titles/title,Hydrothermal Vent Fluid Geochemistry, AT15-17
ECL,100031.xml,/resource/publisher,Integrated Earth Data Applications (IEDA)
ECL,100031.xml,/resource/publicationYear,2012
ECL,100031.xml,/resource/subjects/subject,Chemistry:Fluid
ECL,100031.xml,/resource/subjects/subject/@subjectScheme,ECL
ECL,100031.xml,/resource/dates/date,2011-02-18
ECL,100031.xml,/resource/dates/date/@dateType,Available
ECL,100031.xml,/resource/language,eng
ECL,100031.xml,/resource/resourceType/@resourceTypeGeneral,Dataset
ECL,100031.xml,/resource/alternateIdentifiers/alternateIdentifier,http://www.earthchem.org/library/browse/view?id=107
ECL,100031.xml,/resource/alternateIdentifiers/alternateIdentifier/@alternateIdentifierType,URL
ECL,100031.xml,/resource/formats/format,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
ECL,100031.xml,/resource/version,1.0
ECL,100031.xml,/resource/contributors/contributor/@contributorType,Editor
ECL,100031.xml,/resource/contributors/contributor/contributorName,EarthChem Library (ECL)
ECL,100031.xml,/resource/contributors/contributor/nameIdentifier,10.17616/R3V644
ECL,100031.xml,/resource/contributors/contributor/nameIdentifier/@nameIdentifierScheme,DOI
ECL,100031.xml,/resource/rightsList/rights,Creative Commons Attribution-NonCommercial-Share Alike 3.0 United States [CC BY-NC-SA 3.0]
ECL,100031.xml,/resource/rightsList/rights/@rightsURI,https://creativecommons.org/licenses/by/3.0/us/
ECL,100031.xml,/resource/relatedIdentifiers/relatedIdentifier,10.7284/900404
ECL,100031.xml,/resource/relatedIdentifiers/relatedIdentifier/@relatedIdentifierType,DOI
ECL,100031.xml,/resource/relatedIdentifiers/relatedIdentifier/@relationType,IsPartOf
ECL,100031.xml,/resource/descriptions/description,Hydrothermal vent fluid geochemistry from the Medusa vent, collected during cruise AT15-17, March 2007
ECL,100031.xml,/resource/descriptions/description/@descriptionType,Abstract
ECL,100031.xml,/resource/descriptions/description,Hydrothermal vent, geochemistry, Medusa, AT15-17, 9N50, East Pacific Rise, EPR, R2K (Ridge 2000) funded, R2K (Ridge 2000) funded
ECL,100031.xml,/resource/descriptions/description/@descriptionType,Other
ECL,100031.xml,/resource/geoLocations/geoLocation/geoLocationPlace,East Pacific Rise, EPR, Medusa
ECL,100032.xml,/resource/@xsi:schemaLocation,http://datacite.org/schema/kernel-3 http://schema.datacite.org/meta/kernel-3/metadata.xsd
ECL,100032.xml,/resource/identifier,10.1594/IEDA/100032
ECL,100032.xml,/resource/identifier/@identifierType,DOI
ECL,100032.xml,/resource/creators/creator/creatorName,Dick, Henry J.B.
ECL,100032.xml,/resource/titles/title,Petrological Description of samples from the Kane Fracture Zone, cruise KN180-2
ECL,100032.xml,/resource/publisher,Integrated Earth Data Applications (IEDA)
ECL,100032.xml,/resource/publicationYear,2012
ECL,100032.xml,/resource/subjects/subject,Geochemistry
ECL,100032.xml,/resource/subjects/subject/@subjectScheme,ECL
ECL,100032.xml,/resource/dates/date,2011-02-18
ECL,100032.xml,/resource/dates/date/@dateType,Available
ECL,100032.xml,/resource/language,eng
ECL,100032.xml,/resource/resourceType/@resourceTypeGeneral,Collection
ECL,100032.xml,/resource/alternateIdentifiers/alternateIdentifier,http://www.earthchem.org/library/browse/view?id=108
ECL,100032.xml,/resource/alternateIdentifiers/alternateIdentifier/@alternateIdentifierType,URL
ECL,100032.xml,/resource/formats/format,application/vnd.ms-excel
ECL,100032.xml,/resource/version,1.0
ECL,100032.xml,/resource/contributors/contributor/@contributorType,Editor
ECL,100032.xml,/resource/contributors/contributor/contributorName,EarthChem Library (ECL)
ECL,100032.xml,/resource/contributors/contributor/nameIdentifier,10.17616/R3V644
ECL,100032.xml,/resource/contributors/contributor/nameIdentifier/@nameIdentifierScheme,DOI
ECL,100032.xml,/resource/rightsList/rights,Creative Commons Attribution-NonCommercial-Share Alike 3.0 United States [CC BY-NC-SA 3.0]
ECL,100032.xml,/resource/rightsList/rights/@rightsURI,https://creativecommons.org/licenses/by/3.0/us/
ECL,100032.xml,/resource/relatedIdentifiers/relatedIdentifier,10.7284/900221
ECL,100032.xml,/resource/relatedIdentifiers/relatedIdentifier/@relatedIdentifierType,DOI
ECL,100032.xml,/resource/relatedIdentifiers/relatedIdentifier/@relationType,IsPartOf
ECL,100032.xml,/resource/relatedIdentifiers/relatedIdentifier,10.1093/petrology/egp088
ECL,100032.xml,/resource/relatedIdentifiers/relatedIdentifier/@relatedIdentifierType,DOI
ECL,100032.xml,/resource/relatedIdentifiers/relatedIdentifier/@relationType,IsReferencedBy
ECL,100032.xml,/resource/descriptions/description,Mineral, modal, and petrographic data for samples collected during the KN180-2 cruise from the Kane Fracture Zone, including images of every sample.
ECL,100032.xml,/resource/descriptions/description/@descriptionType,Abstract
ECL,100032.xml,/resource/descriptions/description,abyssal peridotites, Kane Fracture Zone, KN180-2, Ridge related
ECL,100032.xml,/resource/descriptions/description/@descriptionType,Other
ECL,100032.xml,/resource/geoLocations/geoLocation/geoLocationBox,23.312 -45.417 23.519 -45.258
ECL,100032.xml,/resource/geoLocations/geoLocation/geoLocationPlace,Kane Fracture Zone, Atlantic Ocean
ECL,100033.xml,/resource/@xsi:schemaLocation,http://datacite.org/schema/kernel-3 http://schema.datacite.org/meta/kernel-3/metadata.xsd
ECL,100033.xml,/resource/identifier,10.1594/IEDA/100033
ECL,100033.xml,/resource/identifier/@identifierType,DOI
ECL,100033.xml,/resource/creators/creator/creatorName,Ruddiman, William
ECL,100033.xml,/resource/creators/creator/creatorName,Farrel, J.
ECL,100033.xml,/resource/titles/title,Global Carbonate Data Set
ECL,100033.xml,/resource/publisher,Integrated Earth Data Applications (IEDA)
ECL,100033.xml,/resource/publicationYear,2012
ECL,100033.xml,/resource/subjects/subject,Geochemistry
ECL,100033.xml,/resource/subjects/subject/@subjectScheme,ECL
ECL,100033.xml,/resource/dates/date,2011-03-11
ECL,100033.xml,/resource/dates/date/@dateType,Available
ECL,100033.xml,/resource/language,eng
ECL,100033.xml,/resource/resourceType/@resourceTypeGeneral,Dataset
ECL,100033.xml,/resource/alternateIdentifiers/alternateIdentifier,http://www.earthchem.org/library/browse/view?id=129
ECL,100033.xml,/resource/alternateIdentifiers/alternateIdentifier/@alternateIdentifierType,URL
ECL,100033.xml,/resource/formats/format,application/vnd.ms-excel
ECL,100033.xml,/resource/version,1.0
ECL,100033.xml,/resource/contributors/contributor/@contributorType,Editor
ECL,100033.xml,/resource/contributors/contributor/contributorName,EarthChem Library (ECL)
ECL,100033.xml,/resource/contributors/contributor/nameIdentifier,10.17616/R3V644
ECL,100033.xml,/resource/contributors/contributor/nameIdentifier/@nameIdentifierScheme,DOI
ECL,100033.xml,/resource/rightsList/rights,Creative Commons Attribution-NonCommercial-Share Alike 3.0 United States [CC BY-NC-SA 3.0]
ECL,100033.xml,/resource/rightsList/rights/@rightsURI,https://creativecommons.org/licenses/by/3.0/us/
ECL,100033.xml,/resource/descriptions/description,The carbonate data set consists of measurements from several hundred cores in the world ocean, primarily in the Atlantic.
ECL,100033.xml,/resource/descriptions/description/@descriptionType,Abstract
ECL,100033.xml,/resource/descriptions/description,Carbonate, Calcium Carbonate, Global, CaCO3
ECL,100033.xml,/resource/descriptions/description/@descriptionType,Other
ECL,100033.xml,/resource/geoLocations/geoLocation/geoLocationBox,-46.05 -140.85 78.9 137.7833
ECL,100034.xml,/resource/@xsi:schemaLocation,http://datacite.org/schema/kernel-3 http://schema.datacite.org/meta/kernel-3/metadata.xsd
ECL,100034.xml,/resource/identifier,10.1594/IEDA/100034
ECL,100034.xml,/resource/identifier/@identifierType,DOI
ECL,100034.xml,/resource/creators/creator/creatorName,Manheim, Frank
ECL,100034.xml,/resource/creators/creator/creatorName,Lane-Bostwich, C.
ECL,100034.xml,/resource/titles/title,Chemical composition of ferromanganese crusts in the world ocean
ECL,100034.xml,/resource/publisher,Integrated Earth Data Applications (IEDA)
ECL,100034.xml,/resource/publicationYear,2012
ECL,100034.xml,/resource/subjects/subject,Geochemistry
ECL,100034.xml,/resource/subjects/subject/@subjectScheme,ECL
ECL,100034.xml,/resource/dates/date,2011-04-16
ECL,100034.xml,/resource/dates/date/@dateType,Available
ECL,100034.xml,/resource/language,eng
ECL,100034.xml,/resource/resourceType/@resourceTypeGeneral,Dataset
ECL,100034.xml,/resource/alternateIdentifiers/alternateIdentifier,http://www.earthchem.org/library/browse/view?id=131
ECL,100034.xml,/resource/alternateIdentifiers/alternateIdentifier/@alternateIdentifierType,URL
ECL,100034.xml,/resource/formats/format,application/vnd.ms-excel
ECL,100034.xml,/resource/version,1.0
ECL,100034.xml,/resource/contributors/contributor/@contributorType,Editor
ECL,100034.xml,/resource/contributors/contributor/contributorName,EarthChem Library (ECL)
ECL,100034.xml,/resource/contributors/contributor/nameIdentifier,10.17616/R3V644
ECL,100034.xml,/resource/contributors/contributor/nameIdentifier/@nameIdentifierScheme,DOI
ECL,100034.xml,/resource/rightsList/rights,Creative Commons Attribution-NonCommercial-Share Alike 3.0 United States [CC BY-NC-SA 3.0]
ECL,100034.xml,/resource/rightsList/rights/@rightsURI,https://creativecommons.org/licenses/by/3.0/us/
ECL,100034.xml,/resource/descriptions/description,This is a fully integrated version of the ferromanganese crusts dataset, compiled by F.T. Manheim and C.M. Lane-Bostwick of the US Geological Survey, Woods Hole, MA. The original data set consists of tables corresponding the USGS Open-File Report 89-020 Chemical Composition of Ferromanganese Crusts in the World Ocean: A Review and Comprehensive Database. Data include excerpts from the SIO nodule file, the NGDC marine minerals data base, Japanese sources, a PhD thesis, analyses performed at the Bureau of Mines, and analyses performed at other laboratories under the direction of the USGS. These data are also included on the NOAA & MMS Marine Minerals CD-ROM data set released by NGDC in October of 1992.
ECL,100034.xml,/resource/descriptions/description/@descriptionType,Abstract
ECL,100034.xml,/resource/descriptions/description,ferromanganese crust, Fe-Mn crust, metal, global
ECL,100034.xml,/resource/descriptions/description/@descriptionType,Other
ECL,100035.xml,/resource/@xsi:schemaLocation,http://datacite.org/schema/kernel-3 http://schema.datacite.org/meta/kernel-3/metadata.xsd
ECL,100035.xml,/resource/identifier,10.1594/IEDA/100035
ECL,100035.xml,/resource/identifier/@identifierType,DOI
ECL,100035.xml,/resource/creators/creator/creatorName,Moore, Daniel K.
ECL,100035.xml,/resource/creators/creator/nameIdentifier,161
ECL,100035.xml,/resource/creators/creator/nameIdentifier/@nameIdentifierScheme,GeoPass
ECL,100035.xml,/resource/titles/title,Major and trace element analyses of volcanic rocks from the East Tintic Mountains, Utah
ECL,100035.xml,/resource/publisher,Integrated Earth Data Applications (IEDA)
ECL,100035.xml,/resource/publicationYear,2012
ECL,100035.xml,/resource/subjects/subject,Geochemistry
ECL,100035.xml,/resource/subjects/subject/@subjectScheme,ECL
ECL,100035.xml,/resource/dates/date,2011-10-14
ECL,100035.xml,/resource/dates/date/@dateType,Available
ECL,100035.xml,/resource/language,eng
ECL,100035.xml,/resource/resourceType/@resourceTypeGeneral,Dataset
ECL,100035.xml,/resource/alternateIdentifiers/alternateIdentifier,http://www.earthchem.org/library/browse/view?id=236
ECL,100035.xml,/resource/alternateIdentifiers/alternateIdentifier/@alternateIdentifierType,URL
ECL,100035.xml,/resource/formats/format,application/vnd.ms-excel
ECL,100035.xml,/resource/version,1.0
ECL,100035.xml,/resource/contributors/contributor/@contributorType,Editor
ECL,100035.xml,/resource/contributors/contributor/contributorName,EarthChem Library (ECL)
ECL,100035.xml,/resource/contributors/contributor/nameIdentifier,10.17616/R3V644
ECL,100035.xml,/resource/contributors/contributor/nameIdentifier/@nameIdentifierScheme,DOI
ECL,100035.xml,/resource/rightsList/rights,Creative Commons Attribution-NonCommercial-Share Alike 3.0 United States [CC BY-NC-SA 3.0]
ECL,100035.xml,/resource/rightsList/rights/@rightsURI,https://creativecommons.org/licenses/by/3.0/us/
ECL,100035.xml,/resource/descriptions/description,Major and trace element analyses of volcanic rocks from the East Tintic Mountains, Utah
ECL,100035.xml,/resource/descriptions/description/@descriptionType,Abstract
ECL,100035.xml,/resource/descriptions/description,East Tintic Mountains, Utah, volcanic rocks
ECL,100035.xml,/resource/descriptions/description/@descriptionType,Other
ECL,100035.xml,/resource/geoLocations/geoLocation/geoLocationBox,39.7602777778 -112.120277778 39.9944444444 -112.002777778
ECL,100035.xml,/resource/geoLocations/geoLocation/geoLocationPlace,East Tintic Mountains, Utah,
ECL,100036.xml,/resource/@xsi:schemaLocation,http://datacite.org/schema/kernel-3 http://schema.datacite.org/meta/kernel-3/metadata.xsd
ECL,100036.xml,/resource/identifier,10.1594/IEDA/100036
ECL,100036.xml,/resource/identifier/@identifierType,DOI
ECL,100036.xml,/resource/creators/creator/creatorName,Grimes, Craig
ECL,100036.xml,/resource/creators/creator/creatorName,Cheadle, Michael
ECL,100036.xml,/resource/creators/creator/nameIdentifier,293
ECL,100036.xml,/resource/creators/creator/nameIdentifier/@nameIdentifierScheme,GeoPass
ECL,100036.xml,/resource/titles/title,Major element analyses of plagioclase and pyroxene from gabbros of the layered mafic Dufek Intrusion
ECL,100036.xml,/resource/publisher,Integrated Earth Data Applications (IEDA)
ECL,100036.xml,/resource/publicationYear,2012
ECL,100036.xml,/resource/subjects/subject,Geochemistry
ECL,100036.xml,/resource/subjects/subject/@subjectScheme,ECL
ECL,100036.xml,/resource/dates/date,2011-12-29
ECL,100036.xml,/resource/dates/date/@dateType,Available
ECL,100036.xml,/resource/language,eng
ECL,100036.xml,/resource/resourceType/@resourceTypeGeneral,Dataset
ECL,100036.xml,/resource/alternateIdentifiers/alternateIdentifier,http://www.earthchem.org/library/browse/view?id=242
ECL,100036.xml,/resource/alternateIdentifiers/alternateIdentifier/@alternateIdentifierType,URL
ECL,100036.xml,/resource/formats/format,application/vnd.ms-excel
ECL,100036.xml,/resource/version,1.0
ECL,100036.xml,/resource/contributors/contributor/@contributorType,Editor
ECL,100036.xml,/resource/contributors/contributor/contributorName,EarthChem Library (ECL)
ECL,100036.xml,/resource/contributors/contributor/nameIdentifier,10.17616/R3V644
ECL,100036.xml,/resource/contributors/contributor/nameIdentifier/@nameIdentifierScheme,DOI
ECL,100036.xml,/resource/rightsList/rights,Creative Commons Attribution-NonCommercial-Share Alike 3.0 United States [CC BY-NC-SA 3.0]
ECL,100036.xml,/resource/rightsList/rights/@rightsURI,https://creativecommons.org/licenses/by/3.0/us/
ECL,100036.xml,/resource/descriptions/description,EMP analyses of plagioclase and pyroxene from gabbros sampled from the layered mafic Dufek Intrusion. The samples were collected in the austral summer 2006/2007 from the Dufek Massif, Forrestal Range, Pensacola mountains, Antarctica.
ECL,100036.xml,/resource/descriptions/description/@descriptionType,Abstract
ECL,100036.xml,/resource/descriptions/description,gabbro, plagioclase, pyroxene, Dufek Massif
ECL,100036.xml,/resource/descriptions/description/@descriptionType,Other
ECL,100036.xml,/resource/geoLocations/geoLocation/geoLocationBox,-82.63343 -53.26808 -82.59935 -52.95623
ECL,100036.xml,/resource/geoLocations/geoLocation/geoLocationPlace,Antarctica, Pensacola mountains, Forrestal Range
ECL,100037.xml,/resource/@xsi:schemaLocation,http://datacite.org/schema/kernel-3 http://schema.datacite.org/meta/kernel-3/metadata.xsd
ECL,100037.xml,/resource/identifier,10.1594/IEDA/100037
ECL,100037.xml,/resource/identifier/@identifierType,DOI
ECL,100037.xml,/resource/creators/creator/creatorName,Mottl, Michael J.
ECL,100037.xml,/resource/creators/creator/nameIdentifier,202
ECL,100037.xml,/resource/creators/creator/nameIdentifier/@nameIdentifierScheme,GeoPass
ECL,100037.xml,/resource/creators/creator/creatorName,Seewald, Jeffrey
ECL,100037.xml,/resource/creators/creator/creatorName,Wheat, C. Geoffrey
ECL,100037.xml,/resource/creators/creator/creatorName,Tivey, Margaret K.
ECL,100037.xml,/resource/creators/creator/creatorName,Proskurowski, Giora
ECL,100037.xml,/resource/creators/creator/creatorName,Reeves, Eoghan
ECL,100037.xml,/resource/creators/creator/creatorName,Sharkey, Jessica
ECL,100037.xml,/resource/creators/creator/creatorName,You, C.-F.
ECL,100037.xml,/resource/creators/creator/creatorName,Chan, L.H.
ECL,100037.xml,/resource/creators/creator/creatorName,Pichler, Thomas
ECL,100037.xml,/resource/creators/creator/creatorName,Michael, Peter
ECL,100037.xml,/resource/titles/title,LauBasin_TUIM05MV_Mottl
ECL,100037.xml,/resource/publisher,Integrated Earth Data Applications (IEDA)
ECL,100037.xml,/resource/publicationYear,2012
ECL,100037.xml,/resource/subjects/subject,Geochemistry
ECL,100037.xml,/resource/subjects/subject/@subjectScheme,ECL
ECL,100037.xml,/resource/dates/date,2010-10-01
ECL,100037.xml,/resource/dates/date/@dateType,Available
ECL,100037.xml,/resource/language,eng
ECL,100037.xml,/resource/resourceType/@resourceTypeGeneral,Collection
ECL,100037.xml,/resource/alternateIdentifiers/alternateIdentifier,http://www.earthchem.org/library/browse/view?id=6
ECL,100037.xml,/resource/alternateIdentifiers/alternateIdentifier/@alternateIdentifierType,URL
ECL,100037.xml,/resource/formats/format,application/vnd.ms-excel
ECL,100037.xml,/resource/version,1.0
ECL,100037.xml,/resource/contributors/contributor/@contributorType,Editor
ECL,100037.xml,/resource/contributors/contributor/contributorName,EarthChem Library (ECL)
ECL,100037.xml,/resource/contributors/contributor/nameIdentifier,10.17616/R3V644
ECL,100037.xml,/resource/contributors/contributor/nameIdentifier/@nameIdentifierScheme,DOI
ECL,100037.xml,/resource/rightsList/rights,Creative Commons Attribution-NonCommercial-Share Alike 3.0 United States [CC BY-NC-SA 3.0]
ECL,100037.xml,/resource/rightsList/rights/@rightsURI,https://creativecommons.org/licenses/by/3.0/us/
ECL,100037.xml,/resource/relatedIdentifiers/relatedIdentifier,10.7284/904048
ECL,100037.xml,/resource/relatedIdentifiers/relatedIdentifier/@relatedIdentifierType,DOI
ECL,100037.xml,/resource/relatedIdentifiers/relatedIdentifier/@relationType,IsPartOf
ECL,100037.xml,/resource/relatedIdentifiers/relatedIdentifier,10.1016/j.gca.2010.12.008
ECL,100037.xml,/resource/relatedIdentifiers/relatedIdentifier/@relatedIdentifierType,DOI
ECL,100037.xml,/resource/relatedIdentifiers/relatedIdentifier/@relationType,IsReferencedBy
ECL,100037.xml,/resource/descriptions/description,Collection of hydrothermal vent fluid chemistry data from the Eastern Lau Spreading Center. This file is just one part of a much larger effort (VentDB) to make available to the scientific community as much hydrothermal ridge vent chemistry data as possible (for a list of all the VentDB related data collections available, search the EarthChem Library for the term VentDB). For more information about this compilation, please see 'Explanatory Notes and Master Chemical Item Spreadsheet for the VentDB Data Collections housed in the EarthChem Library' (M. Mottl), available at www.earthchem.org/library.
ECL,100037.xml,/resource/descriptions/description/@descriptionType,Abstract
ECL,100037.xml,/resource/descriptions/description,Lau Basin, Eastern Lau Basin Spreading Center, TUIM05MV, R2K (Ridge 2000) funded
ECL,100037.xml,/resource/descriptions/description/@descriptionType,Other
ECL,100037.xml,/resource/geoLocations/geoLocation/geoLocationBox,-22.2157 -176.6085 -20.0526 -176.1334
ECL,100037.xml,/resource/geoLocations/geoLocation/geoLocationPlace,Lau Basin, Pacific
ECL,100038.xml,/resource/@xsi:schemaLocation,http://datacite.org/schema/kernel-3 http://schema.datacite.org/meta/kernel-3/metadata.xsd
ECL,100038.xml,/resource/identifier,10.1594/IEDA/100038
ECL,100038.xml,/resource/identifier/@identifierType,DOI
ECL,100038.xml,/resource/creators/creator/creatorName,Blard, Pierre-Henri
ECL,100038.xml,/resource/titles/title,U and Th data for basalts and andesites
ECL,100038.xml,/resource/publisher,Integrated Earth Data Applications (IEDA)
ECL,100038.xml,/resource/publicationYear,2012
ECL,100038.xml,/resource/subjects/subject,Geochemistry
ECL,100038.xml,/resource/subjects/subject/@subjectScheme,ECL
ECL,100038.xml,/resource/dates/date,2008-08-18
ECL,100038.xml,/resource/dates/date/@dateType,Available
ECL,100038.xml,/resource/language,eng
ECL,100038.xml,/resource/resourceType/@resourceTypeGeneral,Dataset
ECL,100038.xml,/resource/alternateIdentifiers/alternateIdentifier,http://www.earthchem.org/library/browse/view?id=78
ECL,100038.xml,/resource/alternateIdentifiers/alternateIdentifier/@alternateIdentifierType,URL
ECL,100038.xml,/resource/formats/format,application/vnd.ms-excel
ECL,100038.xml,/resource/version,1.0
ECL,100038.xml,/resource/contributors/contributor/@contributorType,Editor
ECL,100038.xml,/resource/contributors/contributor/contributorName,EarthChem Library (ECL)
ECL,100038.xml,/resource/contributors/contributor/nameIdentifier,10.17616/R3V644
ECL,100038.xml,/resource/contributors/contributor/nameIdentifier/@nameIdentifierScheme,DOI
ECL,100038.xml,/resource/rightsList/rights,Creative Commons Attribution-NonCommercial-Share Alike 3.0 United States [CC BY-NC-SA 3.0]
ECL,100038.xml,/resource/rightsList/rights/@rightsURI,https://creativecommons.org/licenses/by/3.0/us/
ECL,100038.xml,/resource/relatedIdentifiers/relatedIdentifier,10.1016/j.epsl.2008.09.003
ECL,100038.xml,/resource/relatedIdentifiers/relatedIdentifier/@relatedIdentifierType,DOI
ECL,100038.xml,/resource/relatedIdentifiers/relatedIdentifier/@relationType,IsReferencedBy
ECL,100038.xml,/resource/descriptions/description,This is a review of U and Th concentrations in basalts and andesites lavas. The observed concentrations in basalts and andesites range between 0.002 and 400 ppm for U and between 0.005 and 445 ppm for Th, with respective mean of 2.3 and 6.1 ppm.
ECL,100038.xml,/resource/descriptions/description/@descriptionType,Abstract
ECL,100038.xml,/resource/descriptions/description,basalt, andesite, uranium, thorium
ECL,100038.xml,/resource/descriptions/description/@descriptionType,Other
ECL,100038.xml,/resource/geoLocations/geoLocation/geoLocationBox,-84.5 -184.953 85.9 12.8683
ECL,100039.xml,/resource/@xsi:schemaLocation,http://datacite.org/schema/kernel-3 http://schema.datacite.org/meta/kernel-3/metadata.xsd
ECL,100039.xml,/resource/identifier,10.1594/IEDA/100039
ECL,100039.xml,/resource/identifier/@identifierType,DOI
ECL,100039.xml,/resource/creators/creator/creatorName,Langmuir, Charles H.
ECL,100039.xml,/resource/titles/title,Gakkel Ridge Major & Trace Elements
ECL,100039.xml,/resource/publisher,Integrated Earth Data Applications (IEDA)
ECL,100039.xml,/resource/publicationYear,2012
ECL,100039.xml,/resource/subjects/subject,Geochemistry
ECL,100039.xml,/resource/subjects/subject/@subjectScheme,ECL
ECL,100039.xml,/resource/dates/date,2011-03-01
ECL,100039.xml,/resource/dates/date/@dateType,Available
ECL,100039.xml,/resource/language,eng
ECL,100039.xml,/resource/resourceType/@resourceTypeGeneral,Dataset
ECL,100039.xml,/resource/alternateIdentifiers/alternateIdentifier,http://www.earthchem.org/library/browse/view?id=79
ECL,100039.xml,/resource/alternateIdentifiers/alternateIdentifier/@alternateIdentifierType,URL
ECL,100039.xml,/resource/formats/format,application/vnd.ms-excel
ECL,100039.xml,/resource/version,1.0
ECL,100039.xml,/resource/contributors/contributor/@contributorType,Editor
ECL,100039.xml,/resource/contributors/contributor/contributorName,EarthChem Library (ECL)
ECL,100039.xml,/resource/contributors/contributor/nameIdentifier,10.17616/R3V644
ECL,100039.xml,/resource/contributors/contributor/nameIdentifier/@nameIdentifierScheme,DOI
ECL,100039.xml,/resource/rightsList/rights,Creative Commons Attribution-NonCommercial-Share Alike 3.0 United States [CC BY-NC-SA 3.0]
ECL,100039.xml,/resource/rightsList/rights/@rightsURI,https://creativecommons.org/licenses/by/3.0/us/
ECL,100039.xml,/resource/relatedIdentifiers/relatedIdentifier,10.7284/902334
ECL,100039.xml,/resource/relatedIdentifiers/relatedIdentifier/@relatedIdentifierType,DOI
ECL,100039.xml,/resource/relatedIdentifiers/relatedIdentifier/@relationType,IsPartOf
ECL,100039.xml,/resource/descriptions/description,The data set contains major oxide data for volcanic glasses of samples collected along the Gakkel Ridge on the Healy 0102 and Polarstern 59 cruises collected by microprobe at the American Museum of Natural History, and trace element data collected by solution and laser ICP-MS, as well as station data for the samples.
ECL,100039.xml,/resource/descriptions/description/@descriptionType,Abstract
ECL,100039.xml,/resource/descriptions/description,Gakkel Ridge, MORB, geochemistry, major oxides, trace elements, ICP-MS, HY0102, PS59, Ridge related
ECL,100039.xml,/resource/descriptions/description/@descriptionType,Other
ECL,100039.xml,/resource/geoLocations/geoLocation/geoLocationBox,82.899 -6.343 87.031 85.05
ECL,100039.xml,/resource/geoLocations/geoLocation/geoLocationPlace,Gakkel Ridge, Arctic Ocean
ECL,100040.xml,/resource/@xsi:schemaLocation,http://datacite.org/schema/kernel-3 http://schema.datacite.org/meta/kernel-3/metadata.xsd
